METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sprintcore,swiftcore,fastcore
ENERGY METABOLISM,OXYDATIVE PHOSPHORYLATION,Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I),true,true,true
ENERGY METABOLISM,OXYDATIVE PHOSPHORYLATION,Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II),true,true,true
ENERGY METABOLISM,KREBS CYCLE,Krebs cycle - oxidative decarboxylation of pyruvate,true,true,true
ENERGY METABOLISM,KREBS CYCLE,Krebs cycle - NADH generation,true,true,true
ENERGY METABOLISM,ATP GENERATION,ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle,true,true,true
ENERGY METABOLISM,ATP GENERATION,ATP generation from glucose (hypoxic conditions) - glycolysis,true,true,true
ENERGY METABOLISM,ATP GENERATION,ATP generation from ions,FAIL (should fail),FAIL (should fail),FAIL (should fail)
ENERGY METABOLISM,OXIDATIVE PHOSPHORYLATION & ROS DETOXIFICATION,Reactive oxygen species detoxification (H2O2 to H2O),true,true,true
ENERGY METABOLISM,REDOX METABOLISM,Presence of the thioredoxin system through the thioredoxin reductase activity,true,true,true
NUCLEOTIDE METABOLISM,IMP SYNTHESIS / PURINE METABOLISM,Inosine monophosphate synthesis (IMP),true,true,true
NUCLEOTIDE METABOLISM,UMP SYNTHESIS,Cytidine triphosphate synthesis (CTP),true,true,true
NUCLEOTIDE METABOLISM,IMP SYNTHESIS / PURINE METABOLISM,Guanosine triphosphate synthesis (GTP),true,true,true
NUCLEOTIDE METABOLISM,UMP SYNTHESIS,Uridine triphosphate synthesis (UTP),true,true,true
NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxyadenosine triphosphate synthesis (dATP),true,true,true
NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxycytidine triphosphate synthesis (dCTP),true,true,true
NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxyguanosine triphosphate synthesis (dGTP),true,true,true
NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxyuridine triphosphate synthesis (dUTP),true,true,true
NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxythymidine triphosphate synthesis (dTTP),true,true,true
NUCLEOTIDE METABOLISM,SALVAGE,AMP salvage from adenine,true,true,true
NUCLEOTIDE METABOLISM,SALVAGE,IMP salvage from hypoxanthine,true,true,true
NUCLEOTIDE METABOLISM,SALVAGE,GMP salvage from guanine,true,true,true
NUCLEOTIDE METABOLISM,COFACTOR,3'-Phospho-5'-adenylyl sulfate synthesis,true,true,true
NUCLEOTIDE METABOLISM,PURINE CATABOLISM,Degradation of adenine to urate,true,true,true
NUCLEOTIDE METABOLISM,PURINE CATABOLISM,Degradation of guanine to urate,true,true,true
NUCLEOTIDE METABOLISM,PYRIMIDINE CATABOLISM,Degradation of cytosine,true,true,true
NUCLEOTIDE METABOLISM,PYRIMIDINE CATABOLISM,Degradation of uracil,true,true,true
CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from pyruvate,true,true,true
CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from Lactate,true,true,true
CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from Glycerol,true,true,true
CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from Alanine,true,true,true
CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from Glutamine,true,true,true
CARBOHYDRATES METABOLISM,GLYCOLYSIS/GLUCONEOGENESIS,Ethanol to acetaldehyde,true,true,true
CARBOHYDRATES METABOLISM,PYRUVATE METABOLISM,Glucose to lactate conversion,true,true,true
CARBOHYDRATES METABOLISM,PYRUVATE METABOLISM,Malate to pyruvate conversion,true,true,true
CARBOHYDRATES METABOLISM,PENTOSE PHOSPHATE PATHWAY,Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt),true,true,true
CARBOHYDRATES METABOLISM,PENTOSE PHOSPHATE PATHWAY,Synthesis of ribose-5-phosphate,true,true,true
CARBOHYDRATES METABOLISM,GALACTOSE METABOLISM,Synthesis of lactose,true,true,true
CARBOHYDRATES METABOLISM,GLYCOGEN METABOLISM,Glycogen biosynthesis,true,true,true
CARBOHYDRATES METABOLISM,GLYCOGEN METABOLISM,Glycogen degradation,true,true,true
CARBOHYDRATES METABOLISM,FRUCTOSE METABOLISM,Fructose degradation (to glucose-3-phosphate),true,true,true
CARBOHYDRATES METABOLISM,FRUCTOSE METABOLISM,Fructose to glucose conversion (via fructose-6-phosphate),true,true,true
CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,UDP-glucose synthesis,true,true,true
CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,UDP-galactose synthesis,true,true,true
CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,UDP-glucuronate synthesis,true,true,true
CARBOHYDRATES METABOLISM,FUCOSE METABOLISM,GDP-L-fucose synthesis,true,true,true
CARBOHYDRATES METABOLISM,MANNOSE METABOLISM,Mannose degradation (to fructose-6-phosphate),true,true,true
CARBOHYDRATES METABOLISM,MANNOSE METABOLISM,GDP-mannose synthesis,true,true,true
CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,UDP-N-acetyl D-galactosamine synthesis,true,true,true
CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,CMP-N-acetylneuraminate synthesis,true,true,true
CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,N-Acetylglucosamine synthesis,true,true,true
CARBOHYDRATES METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSION,Glucuronate synthesis (via inositol),true,true,true
CARBOHYDRATES METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSION,Glucuronate synthesis (via udp-glucose),true,true,true
CARBOHYDRATES METABOLISM,KETOGENESIS,Synthesis of acetone,true,true,true
CARBOHYDRATES METABOLISM,KETOGENESIS,(R)-3-Hydroxybutanoate synthesis,true,true,true
CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,Synthesis of inositol,true,true,true
CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,Inositol as input for glucuronate-xylulose pathway,FAIL (should NOT fail),true,FAIL (should NOT fail)
CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,Synthesis of phosphatidylinositol from inositol,true,true,true
CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,"Conversion of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate to 1D-myo-inositol 1,4,5-trisphosphate",true,true,true
CARBOHYDRATES METABOLISM,STARCH DEGRADATION,Starch degradation,true,FAIL (should NOT fail),FAIL (should NOT fail)
CARBOHYDRATES METABOLISM,GLYOXYLATE METABOLISM,Link between glyoxylate metabolism and pentose phosphate pathway (Xylulose to glycolate),true,true,true
CARBOHYDRATES METABOLISM,METHYLGLYOXAL METABOLISM,Synthesis of methylglyoxal,true,true,true
AMINO ACIDS METABOLISM,ALANINE METABOLISM,Alanine synthesis,true,true,true
AMINO ACIDS METABOLISM,ALANINE METABOLISM,Alanine degradation,true,true,true
AMINO ACIDS METABOLISM,ALANINE METABOLISM,Synthesis of alanine from glutamine,true,true,true
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Arginine synthesis,true,FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Arginine degradation,true,true,true
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Synthesis of arginine from glutamine,true,FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Synthesis of nitric oxide from arginine,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Synthesis of aspartate from glutamine,true,true,true
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Synthesis of creatine from arginine,true,true,true
AMINO ACIDS METABOLISM,ASPARAGINE METABOLISM,Asparagine synthesis,true,true,true
AMINO ACIDS METABOLISM,ASPARAGINE METABOLISM,Asparagine degradation,true,true,true
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Aspartate synthesis,true,true,true
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Aspartate degradation,true,true,true
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Conversion of aspartate to arginine,true,true,true
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Conversion of aspartate to beta-alanine,true,true,true
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Conversion of asparate to asparagine,true,true,true
AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,beta-Alanine synthesis,true,true,true
AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,beta-Alanine degradation,true,true,true
AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,Conversion of carnosine to beta-alanine,true,true,true
AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,Beta-alanine to 3-oxopropanoate,true,true,true
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Cysteine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Cysteine synthesis (need serine and methionine),true,true,true
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Cysteine degradation,true,true,true
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Synthesis of cysteine from cystine,true,true,true
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Synthesis of taurine from cysteine,true,true,true
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Glutamate synthesis,true,true,true
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Glutamate degradation,true,true,true
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Conversion of glutamate to glutamine,true,true,true
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Conversion of glutamate to proline,true,true,true
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Conversion of GABA into succinate,true,true,true
AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,Glutamine synthesis,true,true,true
AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,Glutamine degradation,true,true,true
AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,Glutaminolysis (glutamine to lactate),true,true,true
AMINO ACIDS METABOLISM,GLUTATHIONE METABOLISM,Glutathionate synthesis,true,true,true
AMINO ACIDS METABOLISM,GLYCINE METABOLISM,Glycine synthesis,true,true,true
AMINO ACIDS METABOLISM,GLYCINE METABOLISM,Glycine degradation,true,true,true
