METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sp0,sp2,sp6,sw0,sw2,sw6,f0,f2,f6
ENERGY METABOLISM,OXYDATIVE PHOSPHORYLATION,Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENERGY METABOLISM,OXYDATIVE PHOSPHORYLATION,Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENERGY METABOLISM,KREBS CYCLE,Krebs cycle - oxidative decarboxylation of pyruvate,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENERGY METABOLISM,KREBS CYCLE,Krebs cycle - NADH generation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENERGY METABOLISM,ATP GENERATION,ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENERGY METABOLISM,ATP GENERATION,ATP generation from glucose (hypoxic conditions) - glycolysis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENERGY METABOLISM,ATP GENERATION,ATP generation from ions,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
ENERGY METABOLISM,OXIDATIVE PHOSPHORYLATION & ROS DETOXIFICATION,Reactive oxygen species detoxification (H2O2 to H2O),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ENERGY METABOLISM,REDOX METABOLISM,Presence of the thioredoxin system through the thioredoxin reductase activity,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NUCLEOTIDE METABOLISM,IMP SYNTHESIS / PURINE METABOLISM,Inosine monophosphate synthesis (IMP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NUCLEOTIDE METABOLISM,UMP SYNTHESIS,Cytidine triphosphate synthesis (CTP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NUCLEOTIDE METABOLISM,IMP SYNTHESIS / PURINE METABOLISM,Guanosine triphosphate synthesis (GTP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NUCLEOTIDE METABOLISM,UMP SYNTHESIS,Uridine triphosphate synthesis (UTP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxyadenosine triphosphate synthesis (dATP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxycytidine triphosphate synthesis (dCTP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxyguanosine triphosphate synthesis (dGTP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
